"ANO_MES","UF","Municipio_N","Diagnostico_N","QUANTIDADE"
"2018/08",1,"Alto Alegre dos Parecis","Abscesso",2
"2018/08",1,"Cerejeiras","Abscesso",1
"2018/08",1,"Seringueiras","Abscesso",1
"2019/08",1,"Corumbiara","Abscesso",6
"2019/08",1,"Pimenteiras do Oeste","Abscesso",3
"2019/08",1,"Presidente Médici","Abscesso",1
"2006/09",1,"Campo Novo de Rondônia","Abscesso",1
"2006/09",1,"Pimenta Bueno","Abscesso",28
"2006/09",1,"Presidente Médici","Abscesso",6
"2007/09",1,"Pimenta Bueno","Abscesso",15
"2010/09",1,"Cacoal","Abscesso",898
"2010/09",1,"Chupinguaia","Abscesso",9
"2010/09",1,"Santa Luzia d'Oeste","Abscesso",4
"2010/09",1,"São Felipe d'Oeste","Abscesso",128
"2011/09",1,"Cacoal","Abscesso",436
"2011/09",1,"Chupinguaia","Abscesso",3
"2011/09",1,"Corumbiara","Abscesso",1
"2011/09",1,"Espigão d'Oeste","Abscesso",609
"2011/09",1,"Pimenteiras do Oeste","Abscesso",1
"2012/09",1,"Corumbiara","Abscesso",8
"2013/09",1,"Porto Velho","Abscesso",3
"2014/09",1,"Colorado do Oeste","Abscesso",1
"2015/09",1,"Pimenta Bueno","Abscesso",42
"2016/09",1,"Vilhena","Abscesso",1
"2017/09",1,"Chupinguaia","Abscesso",5
"2017/09",1,"Primavera de Rondônia","Abscesso",3
"2017/09",1,"São Felipe d'Oeste","Abscesso",5
"2018/09",1,"Buritis","Abscesso",2
"2018/09",1,"Ministro Andreazza","Abscesso",1
"2018/09",1,"Vilhena","Abscesso",6
"2019/09",1,"Ouro Preto do Oeste","Abscesso",1
"2019/09",1,"Rolim de Moura","Abscesso",2
"2006/10",1,"São Felipe d'Oeste","Abscesso",29
"2007/10",1,"Alto Paraíso","Abscesso",6
"2007/10",1,"Ministro Andreazza","Abscesso",22
"2007/10",1,"Porto Velho","Abscesso",44
"2007/10",1,"Presidente Médici","Abscesso",18
"2008/10",1,"Ministro Andreazza","Abscesso",57
"2010/10",1,"Alta Floresta d'Oeste","Abscesso",1
"2010/10",1,"Ariquemes","Abscesso",10
"2010/10",1,"Cabixi","Abscesso",4
"2010/10",1,"Cacoal","Abscesso",1071
"2012/10",1,"Espigão d'Oeste","Abscesso",81
"2012/10",1,"Vilhena","Abscesso",3
"2015/10",1,"Porto Velho","Abscesso",1
"2015/10",1,"Vilhena","Abscesso",1
"2017/10",1,"Chupinguaia","Abscesso",7
