"ANO_MES","UF","Municipio_N","Diagnostico_N","QUANTIDADE"
"2019/04",1,"Alto Paraíso","Adenite",2
"2019/04",1,"Buritis","Adenite",18
"2019/04",1,"Colorado do Oeste","Adenite",25
"2019/04",1,"Machadinho d'Oeste","Adenite",1
"2019/04",1,"Ouro Preto do Oeste","Adenite",7
"2019/04",1,"Rio Crespo","Adenite",1
"2019/04",1,"Rolim de Moura","Adenite",1
"2019/04",1,"Vilhena","Adenite",48
"2008/05",1,"Chupinguaia","Adenite",7
"2008/05",1,"Corumbiara","Adenite",9
"2008/05",1,"Pimenta Bueno","Adenite",1
"2008/05",1,"Teixeirópolis","Adenite",1
"2009/05",1,"Cerejeiras","Adenite",1
"2009/05",1,"Chupinguaia","Adenite",5
"2009/05",1,"Corumbiara","Adenite",5
"2010/05",1,"Governador Jorge Teixeira","Adenite",7
"2010/05",1,"Pimenta Bueno","Adenite",1
"2010/05",1,"Teixeirópolis","Adenite",1
"2010/05",1,"Vale do Paraíso","Adenite",3
"2010/05",1,"Vilhena","Adenite",6
"2011/05",1,"Cacoal","Adenite",2
"2012/05",1,"Alta Floresta d'Oeste","Adenite",19
"2012/05",1,"Ariquemes","Adenite",1
"2012/05",1,"Cacoal","Adenite",1
"2014/05",1,"Cabixi","Adenite",3
"2015/05",1,"Cacoal","Adenite",1
"2015/05",1,"Colorado do Oeste","Adenite",4
"2015/05",1,"Cujubim","Adenite",2
"2015/05",1,"Vilhena","Adenite",3
"2017/05",1,"Ariquemes","Adenite",4
"2017/05",1,"Cabixi","Adenite",7
"2018/05",1,"Cerejeiras","Adenite",6
"2018/05",1,"Chupinguaia","Adenite",17
"2018/05",1,"Costa Marques","Adenite",1
"2018/05",1,"Porto Velho","Adenite",3
"2019/05",1,"Chupinguaia","Adenite",12
"2019/05",1,"Rio Crespo","Adenite",2
"2003/06",1,"Parecis","Adenite",1
"2006/06",1,"Cacoal","Adenite",1
"2009/06",1,"Cabixi","Adenite",1
"2009/06",1,"Candeias do Jamari","Adenite",2
"2010/06",1,"Jaru","Adenite",2
"2011/06",1,"Alta Floresta d'Oeste","Adenite",2
"2011/06",1,"Espigão d'Oeste","Adenite",1
"2011/06",1,"Pimenteiras do Oeste","Adenite",4
"2012/06",1,"Cerejeiras","Adenite",2
"2013/06",1,"Cacoal","Adenite",2
"2013/06",1,"Ouro Preto do Oeste","Adenite",1
"2013/06",1,"Pimenteiras do Oeste","Adenite",8
"2013/06",1,"Seringueiras","Adenite",1
"2013/06",1,"São Felipe d'Oeste","Adenite",2
"2014/06",1,"Parecis","Adenite",1
"2014/06",1,"Porto Velho","Adenite",1
"2014/06",1,"Presidente Médici","Adenite",1
"2015/06",1,"Campo Novo de Rondônia","Adenite",3
"2015/06",1,"Machadinho d'Oeste","Adenite",2
"2015/06",1,"Pimenta Bueno","Adenite",3
"2016/06",1,"Buritis","Adenite",4
"2016/06",1,"Candeias do Jamari","Adenite",5
"2016/06",1,"Jaru","Adenite",3
"2016/06",1,"Porto Velho","Adenite",15
"2017/06",1,"Cerejeiras","Adenite",5
"2017/06",1,"Jaru","Adenite",3
"2017/06",1,"Nova Mamoré","Adenite",4
"2018/06",1,"Alta Floresta d'Oeste","Adenite",3
"2018/06",1,"Governador Jorge Teixeira","Adenite",2
"2018/06",1,"Porto Velho","Adenite",1
"2018/06",1,"Rio Crespo","Adenite",2
"2018/06",1,"Vilhena","Adenite",26
"2019/06",1,"Alta Floresta d'Oeste","Adenite",2
